Estación,Código,X=N,Y=E,Municipio,Cuenca,Corriente,Año,Enero,Febrero,Marzo ,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,1999,26,46,35,48,85,43,28,0,45,65,65,49
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2000,28,20,33,32,78,100,28,13,21,26,35,14
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2001,14,9,17,0,0,0,0,0,0,0,0,0
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2002,15,42,30,50,30,40,20,32,0,0,0,0
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2004,90,80,60,64,82,20,56,20,34,90,90,60
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2005,90,20,60,70,70,18,11,16,60,62,60,40
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2007,70,16,50,50,30,18,18,0,20,34,14,14
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2008,22,28,24,40,48,18,13,14,28,36,36,38
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2009,32,32,38,38,38,18,24,32,72,72,76,68
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2010,56,48,68,70,68,72,58,44,78,78,78,68
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2011,48,30,38,44,28,28,0,0,0,0,0,74
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2012,88,82,0,74,78,72,68,88,0,0,76,70
Zusne,2306715,1080111,949777,Caparrapi,R. Negro,Q. Zusne,2013,62,68,68,62,68,72,68,68,0,0,0,0
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,1996,0,0,0,0,0,0,306,320,288,368,256,249
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,1997,291,228,232,310,250,238,308,239,242,244,227,220
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,1998,214,216,239,320,372,254,276,282,240,364,300,268
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,1999,278,284,288,330,240,250,225,274,358,360,320,376
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2000,227,241,300,242,230,324,288,250,346,292,360,234
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2001,221,255,320,248,234,228,224,250,310,238,290,242
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2002,350,235,280,350,316,341,260,286,244,328,308,250
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2003,0,0,225,308,244,229,244,240,234,276,324,330
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2004,250,214,217,238,293,261,226,236,254,300,350,295
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2005,286,233,216,242,278,230,226,231,241,326,292,256
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2006,238,220,283,370,342,302,240,229,221,274,320,251
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2007,226,212,227,276,222,258,240,246,234,576,269,293
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2008,248,242,227,286,300,265,286,257,294,280,312,264
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2009,230,247,320,335,236,232,242,300,230,276,217,217
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2010,212,216,212,300,308,262,318,271,266,294,312,334
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2011,237,260,400,404,386,306,264,261,270,320,390,300
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2012,250,222,207,200,56,56,66,69,44,98,106,52
El Volador,2120918,1062793,1008530,Cogua,Emb. Neusa,R. Cubillos,2013,30,39,51,96,88,40,40,45,42,0,0,0
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1991,154,110,200,200,125,120,70,92,135,190,155,132
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1992,100,100,100,100,95,75,54,62,51,50,165,153
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1993,175,160,131,170,145,836,82,64,101,160,162,167
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1994,145,140,140,148,110,103,74,70,79,130,148,100
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1995,95,120,150,200,130,131,92,140,140,240,141,110
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1996,155,104,0,0,994,100,201,89,110,210,120,120
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1997,250,115,405,380,190,105,89,59,0,105,0,0
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1998,80,100,150,160,202,97,91,70,85,80,100,100
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,1999,93,115,150,150,108,100,73,75,100,110,150,110
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2000,120,152,182,182,100,85,85,70,70,85,110,95
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2001,70,75,75,55,88,90,64,40,65,140,130,130
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2002,95,100,150,130,98,100,564,54,90,180,150,100
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2003,80,0,0,0,0,0,0,0,0,0,0,0
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2004,0,0,150,150,160,92,0,0,0,0,0,0
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2007,92,0,48,180,150,80,50,145,56,200,200,150
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2008,170,200,160,160,200,110,80,180,90,200,160,110
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2009,105,80,200,200,170,110,70,50,180,84,180,100
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2010,0,0,0,170,110,80,95,80,100,110,115,130
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2011,980,190,199,150,198,130,88,95,0,0,0,180
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2012,185,185,135,200,145,45,0,0,0,285,195,132
Viotá,2120896,982700,951000,Viotá,R. Calandaima,R. Lindo,2013,130,195,150,163,130,130,70,60,0,0,0,0
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,1991,55,47,72,68,82,119,115,150,89,82,105,61
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,1993,47,62,46,90,140,122,106,125,70,78,113,113
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,1994,57,57,62,72,108,131,182,100,184,168,90,58
Villapinzón,2120815,1068510,1053100,Villapinzón,R. Bogotá,R. Bogotá,1995,42,40,51,71,52,85,71,68,48,45,48,57
